# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 -6.902781769489651446e-04 2.562446172838227145e-03 -4.577268924411384554e-02 2.653792446719461205e-03 -1.833932536514385037e+00 -1.615041675990273404e+02
-1.612543393985708349e+02 -7.194211928531376839e-04 2.555266837312199224e-03 -4.577268924411384554e-02 2.654610227998400497e-03 -1.845236621596015425e+00 -1.612543393985708349e+02
-1.610045111981143862e+02 -7.490458334288408555e-04 2.547175634357823695e-03 -4.675124113109233037e-02 2.655027942008010133e-03 -1.856803153682206053e+00 -1.610045111981143862e+02
-1.607546829976578806e+02 -7.790366232426142960e-04 2.538180405880033266e-03 -4.757868264443562006e-02 2.655043847688129486e-03 -1.868596178477790692e+00 -1.607546829976578806e+02
-1.605048547972014035e+02 -8.092796357874215045e-04 2.528329250984177184e-03 -4.824868243759251191e-02 2.654690627979545015e-03 -1.880576147012505750e+00 -1.605048547972014035e+02
-1.602550265967449548e+02 -8.396709554878877468e-04 2.517694697811823524e-03 -4.877500814911425731e-02 2.654022212582199045e-03 -1.892703941493348863e+00 -1.602550265967449548e+02
-1.600051983962884492e+02 -8.701292846372015886e-04 2.506356370765594390e-03 -4.920527848209066413e-02 2.653101435916186118e-03 -1.904946892038792194e+00 -1.600051983962884492e+02
-1.597553701958319721e+02 -9.006158889178879834e-04 2.494368635050532405e-03 -4.961884241224720493e-02 2.651977350373719428e-03 -1.917289673845631315e+00 -1.597553701958319721e+02
-1.595055419953754665e+02 -9.311374250552280612e-04 2.481732672732652519e-03 -5.008973733230653175e-02 2.650662929013652708e-03 -1.929739264255964093e+00 -1.595055419953754665e+02
-1.592557137949190462e+02 -9.617182718326240881e-04 2.468387246303258443e-03 -5.064035877041440925e-02 2.649120161881924132e-03 -1.942317331723765417e+00 -1.592557137949190462e+02
-1.590058855944625691e+02 -9.923563993229839782e-04 2.454237050924604549e-03 -5.122611515297373352e-02 2.647272317954535523e-03 -1.955042043660127238e+00 -1.590058855944625691e+02
-1.587560573940060635e+02 -1.022998052779311527e-03 2.439203721675036601e-03 -5.177030064754606364e-02 2.645040606838316988e-03 -1.967912788053854278e+00 -1.587560573940060635e+02
-1.585062291935495864e+02 -1.053554851703641590e-03 2.423270671516309944e-03 -5.222304250859904906e-02 2.642388800494618797e-03 -1.980909405755863162e+00 -1.585062291935495864e+02
-1.582564009930930808e+02 -1.083951097008398158e-03 2.406489803914617105e-03 -5.259866583431119236e-02 2.639345213694245431e-03 -1.994006365518426582e+00 -1.582564009930930808e+02
-1.580065727926366321e+02 -1.114166621135475070e-03 2.388951155381521287e-03 -5.296699075475216900e-02 2.635992200756889173e-03 -2.007190665819458264e+00 -1.580065727926366321e+02
-1.577567445921801266e+02 -1.144247329389153685e-03 2.370736921477738322e-03 -5.341191113092246673e-02 2.632431480907329330e-03 -2.020471661486135773e+00 -1.577567445921801266e+02
-1.575069163917236779e+02 -1.174282433790586801e-03 2.351889891961667957e-03 -5.398973629625724441e-02 2.628749759528397744e-03 -2.033878269101017544e+00 -1.575069163917236779e+02
-1.572570881912671723e+02 -1.204367212479130885e-03 2.332407036561032730e-03 -5.471148957832536880e-02 2.624999612703622903e-03 -2.047447978810163161e+00 -1.572570881912671723e+02
-1.570072599908106952e+02 -1.234572947286473191e-03 2.312253353359654696e-03 -5.555073711901822170e-02 2.621199330896942063e-03 -2.061215215072311757e+00 -1.570072599908106952e+02
-1.567574317903542180e+02 -1.264932872326997824e-03 2.291379813018181062e-03 -5.646235443018152167e-02 2.617341517456341256e-03 -2.075204260187113459e+00 -1.567574317903542180e+02
-1.565076035898977409e+02 -1.295440952590501188e-03 2.269736785623177686e-03 -5.739746860623040625e-02 2.613402444641777737e-03 -2.089426991873967854e+00 -1.565076035898977409e+02
-1.562577753894412638e+02 -1.326055977400396541e-03 2.247281191857282510e-03 -5.831058803376010929e-02 2.609348043185272248e-03 -2.103883272772416824e+00 -1.562577753894412638e+02
-1.560079471889847866e+02 -1.356708345354855480e-03 2.223982425111147021e-03 -5.916366701860219929e-02 2.605140180788505840e-03 -2.118562250426034410e+00 -1.560079471889847866e+02
-1.557581189885283095e+02 -1.387310735850398082e-03 2.199827817862463637e-03 -5.993164767195052062e-02 2.600744798331297656e-03 -2.133444777699744055e+00 -1.557581189885283095e+02
-1.555082907880718324e+02 -1.417773576800645651e-03 2.174826177022370216e-03 -6.060807524673007818e-02 2.596141524519769792e-03 -2.148507481802584440e+00 -1.555082907880718324e+02
-1.552584625876153552e+02 -1.448021280095666136e-03 2.149005483962211725e-03 -6.120584929275837277e-02 2.591329812607717949e-03 -2.163727990443786720e+00 -1.552584625876153552e+02
-1.550086343871588497e+02 -1.478003249864341976e-03 2.122405710184803711e-03 -6.175076351692022902e-02 2.586329369054648879e-03 -2.179089376175026516e+00 -1.550086343871588497e+02
-1.547588061867024010e+02 -1.507695750057114160e-03 2.095069820414801384e-03 -6.227124331822669889e-02 2.581174931528894267e-03 -2.194582154696278042e+00 -1.547588061867024010e+02
-1.545089779862458954e+02 -1.537096653328769505e-03 2.067037734051812691e-03 -6.279065687599962031e-02 2.575909764659576467e-03 -2.210203601491786518e+00 -1.545089779862458954e+02
