# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 -4.438608690338562927e-04 -1.367505811304823486e-04 3.358896331411822395e-02 4.644493433077656499e-04 2.842727407688141028e+00 -1.615041675990273404e+02
-1.612543393985708349e+02 -4.421849833989285124e-04 -1.321010591111334697e-04 3.358896331411822395e-02 4.614956655937235545e-04 2.851286581520536156e+00 -1.612543393985708349e+02
-1.610045111981143862e+02 -4.402509052148887727e-04 -1.275891878043239325e-04 3.148018049508380378e-02 4.583665131606976732e-04 2.859510348208070596e+00 -1.610045111981143862e+02
-1.607546829976578806e+02 -4.379489009470844763e-04 -1.233666046499447212e-04 2.848447875661693982e-02 4.549929219049621840e-04 2.867015855206799912e+00 -1.607546829976578806e+02
-1.605048547972014035e+02 -4.352591486144354429e-04 -1.194545541009088584e-04 2.548789013204861773e-02 4.513534279785743871e-04 2.873742800345484127e+00 -1.605048547972014035e+02
-1.602550265967449548e+02 -4.321789079922896677e-04 -1.158215476950616137e-04 2.268641252693651134e-02 4.474295915827287149e-04 2.879751042657043403e+00 -1.602550265967449548e+02
-1.600051983962884492e+02 -4.287011496731175692e-04 -1.124452086198846849e-04 2.000441668704107737e-02 4.432026632056965945e-04 2.885078211578319785e+00 -1.600051983962884492e+02
-1.597553701958319721e+02 -4.248541116226812130e-04 -1.093190004780658983e-04 1.753834387418163124e-02 4.386931274002602997e-04 2.889746377501253960e+00 -1.597553701958319721e+02
-1.595055419953754665e+02 -4.207342893651253132e-04 -1.064238859366679608e-04 1.564792029614646418e-02 4.339854672053408344e-04 2.893841357356467636e+00 -1.595055419953754665e+02
-1.592557137949190462e+02 -4.165031119127133967e-04 -1.037050405368959672e-04 1.473068391958801647e-02 4.292197312166968906e-04 2.897564961038198827e+00 -1.592557137949190462e+02
-1.590058855944625691e+02 -4.123392665834751405e-04 -1.010772087470768426e-04 1.494656692675098118e-02 4.245471386014729631e-04 2.901201637866714478e+00 -1.590058855944625691e+02
-1.587560573940060635e+02 -4.083860872563176256e-04 -9.845096726530633789e-05 1.613263123047208730e-02 4.200854546636899442e-04 2.905033108874824244e+00 -1.587560573940060635e+02
