# SFHo_cold_beta_1D.d converted to units with G=c=Msun=1
# 
# T = 0.1
# Ye at beta equilibrium 
# 
# 
# 
# 
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
1.5856055311198343e-16 2.2204460492503131e-16 3.9033541087579219e-21
1.6315874921086472e-16 2.2204460492503131e-16 4.0277619474069982e-21
1.7275904623649830e-16 2.2204460492503131e-16 4.2885993944498748e-21
1.8292422687043516e-16 2.2204460492503131e-16 4.5663286475796781e-21
1.8822896029800127e-16 2.2204460492503131e-16 4.7118668339133603e-21
1.9368752898959439e-16 2.2204460492503131e-16 4.8620436184111333e-21
1.9930439410971614e-16 2.2204460492503131e-16 5.0170068426358863e-21
2.2344864973978744e-16 2.2204460492503131e-16 5.6878490759316403e-21
2.2992857611093312e-16 2.2204460492503131e-16 5.8691324005757310e-21
2.3659641789720600e-16 2.2204460492503131e-16 6.0561935936820993e-21
2.8086618567463090e-16 2.2204460492503131e-16 7.3106300219606814e-21
4.0728391067271181e-16 2.2204460492503131e-16 1.0992355378222260e-20
4.1909499011483198e-16 2.2204460492503131e-16 1.1342704113223960e-20
4.5662334895867225e-16 2.2204460492503131e-16 1.2462183198355929e-20
5.5778216210116363e-16 2.2204460492503131e-16 1.5522977573335678e-20
6.0772942854376447e-16 2.2204460492503131e-16 1.7055032765718003e-20
6.2535335222881702e-16 2.2204460492503131e-16 1.7598611366417225e-20
6.6214928230556507e-16 2.2204460492503131e-16 1.8738295617933499e-20
7.0111029307691145e-16 2.2204460492503131e-16 1.9951785703677855e-20
7.4236377837158244e-16 2.2204460492503131e-16 2.1243861281839617e-20
8.3229566831096186e-16 2.2204460492503131e-16 2.4084455244164668e-20
8.5643192805546412e-16 2.2204460492503131e-16 2.4852075843905752e-20
1.1728979220765789e-15 2.2204460492503131e-16 3.5095136820274248e-20
1.2069115184208658e-15 2.2204460492503131e-16 3.6213690248236937e-20
1.2419114962008266e-15 2.2204460492503131e-16 3.7367894250170013e-20
1.4327378142002288e-15 2.2204460492503131e-16 4.3714733857076866e-20
1.5170404252628000e-15 2.2204460492503131e-16 4.6545695499380301e-20
1.9621585208429458e-15 2.2204460492503131e-16 6.1732250272050944e-20
2.1378623369599395e-15 2.2204460492503131e-16 6.7824974050071425e-20
2.5378796746629933e-15 2.2204460492503131e-16 8.1873751863947470e-20
2.6872090781422707e-15 1.0523282477952867e-02 8.7175887564832847e-20
2.7643545905338892e-15 1.0203639031830081e-02 8.9926421399084370e-20
2.8437148282814816e-15 9.8899302421049384e-03 9.2763738822063191e-20
2.9253533726388402e-15 9.5832065699106295e-03 9.5690577989969550e-20
3.0093356301767574e-15 9.2851113873355651e-03 9.8709763452059130e-20
3.0957288851849738e-15 8.9985108993875240e-03 1.0182420887647693e-19
3.1846023535785197e-15 8.7197039828654788e-03 1.0503691986209612e-19
3.2760272383516126e-15 8.4459052337153562e-03 1.0835099683907442e-19
3.3700767866235514e-15 8.1820513896604385e-03 1.1176963806092737e-19
3.4668263483223033e-15 7.9266373102844234e-03 1.1529614269100637e-19
3.5663534365528106e-15 7.6755902676934884e-03 1.1893391398635975e-19
3.6687377896983713e-15 7.4325869807745359e-03 1.2268646258204976e-19
3.7740614353048523e-15 7.1983169146343506e-03 1.2655740987909447e-19
3.8824087557989167e-15 6.9684842247763612e-03 1.3055049153930479e-19
3.9938665560929188e-15 6.7447489869489896e-03 1.3466956109038876e-19
4.1085241331306300e-15 6.5295893658234849e-03 1.3891859364480281e-19
4.2264733474295074e-15 6.3193397167202736e-03 1.4330168973593816e-19
4.3478086966768289e-15 6.1135693557583526e-03 1.4782307927534464e-19
4.4726273914386629e-15 5.9157313645497034e-03 1.5248712563481184e-19
4.6010294330423090e-15 5.7233651821668730e-03 1.5729832985724535e-19
4.7331176936946406e-15 5.5344518866546899e-03 1.6226133500040316e-19
4.8689979989004924e-15 5.3523950850937752e-03 1.6738093061768341e-19
5.0087792122471731e-15 5.1762479719505983e-03 1.7266205738028797e-19
5.1525733226229919e-15 5.0031450291250223e-03 1.7810981184522259e-19
5.3004955339396976e-15 4.8355665064079290e-03 1.8372945137373469e-19
